case,standard_mc,antithetic,control_variate,antithetic_cv,sobol_bridge,rqmc_bridge,levy,geometric_closed
low_sigma=1e-06,2.4651109424039355,2.4651108478240307,2.465110853486554,2.465110847824522,2.46511084881027,2.4651108424180546,2.4651108478241444,2.4549499257875422
low_sigma=0.0001,2.4651203064173206,2.4651108461262936,2.4651114158706053,2.4651108514453073,2.465110946297367,2.4651103067465394,2.4651108478241444,2.4549498445108164
low_sigma=0.01,2.4660630300554116,2.4650938696723834,2.4651866153702358,2.465148039108418,2.465119361079366,2.465052070618863,2.4651116916189575,2.4541378913008915
deep_otm_K=200.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0846789762414158e-08,
deep_otm_K=400.0,0.0,0.0,0.0,0.0,0.0,0.0,9.262150967067742e-31,
dense_N=500,5.761732621229055,5.796140804004851,5.7730352499830095,5.774584258342594,5.773868546847772,5.773600453351295,5.792243632472498,
